SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
CE482,Sombra Glamor + Glitter,47.50,120.0,40.00,VB,Active,2027-11-01,Maquillaje,Sombra,12
HS1023,Cera laminada para cejas Mecow,15.50,669.0,12.80,VB,Active,2027-11-01,Maquillaje,Articulos para Cejas,24
PK204,Sombra Pink Key UltraLight y rapido secado,19.00,0.0,16.00,VB,Inactive,2027-11-01,Maquillaje,Sombra,24
F-A23,Body Victorias Fleur Love Spell Shimmer 250ml,76.47,12.0,65.00,VB,Active,,Cuidado personal,Fragancias,12
F-A27,Body Victorias Fleur Velvet Petals 250ml,76.47,12.0,65.00,VB,Active,,Cuidado personal,Fragancias,12
F-A24,Body Victorias Fleur Velvet Petals Shimmer 250ml,76.47,12.0,65.00,VB,Active,,Cuidado personal,Fragancias,12
F-A25,Body Victorias Fleur Love Spell 250ml,76.47,12.0,65.00,VB,Inactive,,Cuidado personal,Fragancias,12
F-A22,Body Victorias Fleur Pure Seduction Shimmer 250ml,76.47,12.0,65.00,VB,Active,,Cuidado personal,Fragancias,12
F-A18,Body Victorias Fleur Forever Emotion 250ml,76.47,29.0,65.00,VB,Active,,Cuidado personal,Fragancias,12
CD-002,Perfume You Crack Me Up 200ml,82.35,1.0,70.00,VB,Inactive,,Cuidado personal,Perfumes,18
S35-1447,Crema depiladora 150g Stay 3 en 1,68.00,120.0,47.00,Stay,Active,2027-10-01,Cuidado personal,Crema depiladora,12
B0015-RL,Body Spray Corporal 250ml,79.30,24.0,71.40,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
B0015-CJN,Body Spray Corporal 250ml,79.30,24.0,71.40,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
B0015-HB,Body Spray Corporal 250ml,79.30,24.0,71.40,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
B0015-BD-55,Body Spray Glisten Paris 250ml,75.80,36.0,68.25,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
B0015-BD-23,Body Spray Pasco Pappu 250ml,75.80,9.0,68.25,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
B0015-BD-8,Body Spray Thirll 250ml,75.80,12.0,68.25,Ushas,Inactive,2028-12-01,Cuidado personal,Fragancias,12
953,Blush 4 colores Anylady,41.20,136.0,35.00,VB,Active,2027-04-01,Maquillaje,Blusher,24
56821-03,Máscara gel para ceja 3D Kiss Beauty,31.75,24.0,27.00,VB,Active,2028-01-01,Maquillaje,Mascara,24
M23-28,Mascara Million Pauline 4 Colores 24 horas,23.53,0.0,20.00,VB,Inactive,2026-06-01,Maquillaje,Mascara,48
B0045-BD-12,Perfume Innovator tubular 35ml,21.18,1.0,16.00,VB,Inactive,,Cuidado personal,Perfumes,24
OLU938-9,Perfume Invictus para hombre 100ml,59.00,0.0,48.00,VB,Inactive,,Cuidado personal,Perfumes,12
OLU938-26,Perfume Locaste para hombre 100ml,59.00,0.0,48.00,VB,Inactive,,Cuidado personal,Perfumes,12
2929-03,Bálsamo Labial Aloe Kiss Beauty,10.35,0.0,8.80,VB,Inactive,2028-12-01,Maquillaje,Labios,36
S37-002,Tijera Stay,28.24,168.0,24.00,Stay,Active,2029-01-01,Cuidado personal,Tijera,12
S35-1457,Crema corporal humectante Miel 444ml,68.00,0.0,47.00,Stay,Inactive,2027-10-24,Cuidado personal,Crema corporal,12
BD-4,Perfume 2i2 Party 100ml,42.35,1.0,36.00,VB,Inactive,2028-07-12,Cuidado personal,Perfumes,12
BD-10,Perfume Lady Trillion,42.35,0.0,36.00,VB,Inactive,,Cuidado personal,Perfumes,12
LO904,Polvo Banana Suelto Scanlon Iluminador Bronzing,11.76,45.0,10.00,VB,Active,2026-01-01,Maquillaje,Iluminadores,12
B0021-GE,Body Spray Pink In Sweet 250ml,75.29,0.0,71.40,VB,Inactive,2029-02-01,Cuidado personal,Fragancias,12
006-alcoholGel,Alcohol Gel para Niñ@s,18.00,2729.0,14.00,VB,Active,,Cuidado personal,Alcohol,12
23526,Mascara Pestañas y Cejas KIKO,14.12,216.0,12.00,VB,Active,2026-01-01,Maquillaje,Mascara,12
JH8010,Mascara Pestañas Essence,14.12,192.0,12.00,VB,Active,2026-04-01,Maquillaje,Mascara,12
B518-1,Perfume 2i2 Red 100ml,65.88,2.0,56.00,VB,Inactive,2028-08-01,Cuidado personal,Perfumes,12
DS5195,Protector Solar Disaar Anti-ultravioleta SPF50 50ml,28.24,45.0,24.00,VB,Active,2028-08-01,Cuidado personal,Protector Solar,12
DS5285,Protector Solar Disaar Antiaging SPF50 80g,32.94,0.0,28.00,VB,Inactive,2028-09-01,Cuidado personal,Protector Solar,12
B0021-LA,Body Spray 250ml Pink and Sweet B0021-LA,75.29,52.0,64.00,VB,Active,2029-01-01,Cuidado personal,Fragancias,12
LC1305,Balsamo para Labios Osito Magic,14.12,0.0,12.00,VB,Inactive,2028-12-01,Maquillaje,Labios,24
MOC449,Iluminador MocMallure True Skin,18.82,0.0,16.00,VB,Inactive,2027-11-01,Maquillaje,Iluminadores,12
MOC495,Brillo Labial MocMallure Magic Hearts,14.12,0.0,12.00,VB,Inactive,2027-12-01,Maquillaje,Labios,24
LC05,Brillo Labial 99% Aloe Magic,14.12,0.0,12.00,VB,Inactive,2028-11-01,Maquillaje,Labios,24
MOC433,Brillo Labial MocMallure Magic Candy,14.12,0.0,12.00,VB,Inactive,2027-10-01,Maquillaje,Labios,24
68532-47A,Protector Solar Karité 60ml SPF90,37.65,117.0,32.00,VB,Active,2028-08-01,Cuidado personal,Protector Solar,12
AC3219,"Set 3 piezas SkinCare Colageno, Vit C, Acido Hialuronico 30ml Aichun",94.12,218.0,80.00,VB,Active,2028-06-01,Cuidado personal,Set skincare,6
HS033,Espejo Gatita,84.71,0.0,72.00,VB,Inactive,2026-01-01,Maquillaje,Espejo,12
DS319-1,Shampoo Contra La Caida del Cabello Clasico Disaar 200ml,47.06,1.0,40.00,VB,Inactive,2028-11-01,Cuidado personal,Shampoo capilar,12
DS319-2,Shampoo Contra La Caida del Cabello Gengibre Disaar 200ml,47.06,3.0,40.00,VB,Inactive,2028-11-01,Cuidado personal,Shampoo capilar,12
35010,Lápiz Labial Mate Beauty Model Matte 35010,12.94,744.0,11.00,VB,Active,2027-07-01,Maquillaje,Labios,24
H98142-A,Lápiz Labial Huda Mate,14.12,1025.0,12.00,VB,Active,2028-05-01,Maquillaje,Labios,24
LC1253,Brillo Para Labios Magic Dear Darling,12.94,1488.0,11.00,VB,Active,2025-03-22,Maquillaje,Labios,12
2056,Primer 24k Rose Silver Kaliya Beauty,12.94,576.0,11.00,VB,Active,2028-08-01,Maquillaje,Primers de maquillaje,24
FS346A,Base Maquillaje Febble Pure Cover,105.88,132.0,90.00,Ushas,Inactive,2028-05-01,Maquillaje,Base de maquillaje,12
ES4201-2,Sombra para Ojos Ushas Love ES4201 2,35.29,132.0,30.00,Ushas,Inactive,2028-08-01,Maquillaje,Sombra,12
ES4201-4,Sombra para Ojos Ushas Love ES4201-4,35.29,72.0,30.00,Ushas,Inactive,2028-08-01,Maquillaje,Sombra,12
CS406B,Kit Corrector de Ojeras Ushas B,97.65,12.0,83.00,Ushas,Inactive,2028-09-01,Maquillaje,Corrector,6
FS346B,Base Maquillaje Febble Pure Cover,105.88,96.0,90.00,Ushas,Inactive,2028-05-01,Maquillaje,Base de maquillaje,12
LG2471B,Brillo Labial Luxurious Ushas B,24.71,288.0,21.00,Ushas,Inactive,2026-01-01,Maquillaje,Labios,24
LG2471A,Brillo Labial Luxurious Ushas A,24.71,288.0,21.00,Ushas,Inactive,2026-01-01,Maquillaje,Labios,24
T51036,Lapiz labial Matte duradero Top Lady,14.12,3120.0,12.00,VB,Active,2028-06-01,Maquillaje,Labios,24
35006,Lapiz labial Matte Beauty Model,12.94,216.0,11.00,VB,Active,2028-06-01,Maquillaje,Labios,24
EL661,Delineador de Ojos Colorfull Pasteles,18.82,144.0,16.00,Ushas,Inactive,,Maquillaje,Delineador,24
HA-3054,Protector Solar Kids 35+,47.06,48.0,40.00,Ushas,Inactive,2028-11-01,Cuidado personal,Protector Solar,12
B0023-CC,Loción Corporal Pink in Sweet B0023-CC,56.47,12.0,48.00,Ushas,Inactive,,Cuidado personal,Crema corporal,12
FS329,Corrector de Ojeras Full Cover All Ushas,32.94,168.0,28.00,Ushas,Inactive,2028-11-01,Maquillaje,Corrector,24
ES3884-4,Sombra de Ojos Good Vibes,47.06,144.0,40.00,Ushas,Inactive,2028-04-01,Maquillaje,Sombra,12
LP2294,Labial en Barra Beauty Kiss,21.18,216.0,18.00,Ushas,Inactive,2028-08-01,Maquillaje,Labios,24
LP2300,Balsamo para Labios Ushas,15.29,480.0,13.00,Ushas,Inactive,,Maquillaje,Labios,24
FS343,Sellador Para Cejas Ushas,21.18,192.0,18.00,Ushas,Inactive,2027-07-01,Maquillaje,Fijador de maquillaje,24
LG2519A,Labial Matte Ushas,21.18,284.0,18.00,Ushas,Inactive,2026-08-01,Maquillaje,Labios,24
LG2522,Labial Beauty Kiss,25.88,288.0,22.00,Ushas,Inactive,,Maquillaje,Labios,24
ES4061-2,Sombra de Ojos My Life Dreams,49.41,9.0,42.00,Ushas,Inactive,2028-05-01,Maquillaje,Sombra,12
ES3922-2,Sombra de Ojos Matcha Love,37.65,144.0,32.00,Ushas,Inactive,2025-01-01,Maquillaje,Sombra,12
HA070,Espuma Facial Limpiadora de Vit-C,74.12,24.0,63.00,Ushas,Inactive,,Maquillaje,Desmaquillante ó Limpiador facial,12
HA073,Espuma Facial Limpiadora de Uva,74.12,72.0,63.00,Ushas,Inactive,,Maquillaje,Desmaquillante ó Limpiador facial,12
HA072,Espuma Facial Limpiadora con Aminoácidos,74.12,48.0,63.00,Ushas,Inactive,,Maquillaje,Desmaquillante ó Limpiador facial,12
HA069,Espuma Facial Limpiadora de Rosa,74.12,24.0,63.00,Ushas,Inactive,,Maquillaje,Desmaquillante ó Limpiador facial,12
LG2367,Brillo de labios Maximizer,21.18,216.0,18.00,Ushas,Inactive,,Maquillaje,Labios,24
FS411B,Base Liquida Premium,51.76,264.0,44.00,Ushas,Inactive,,Maquillaje,Base de maquillaje,24
ES4047,Rubor Sweet Mojito,25.88,96.0,22.00,Ushas,Inactive,,Maquillaje,Blusher,24
ES4038,Iluminador 2 Tono Estrella,32.94,72.0,28.00,Ushas,Inactive,,Maquillaje,Iluminadores,24
ES4030-4,Sombra de Ojos 9C Pink 4 Ushas,37.65,216.0,32.00,Ushas,Inactive,2027-09-01,Maquillaje,Sombra,24
LG2419B,Brillo Labial Music Star Matte,23.53,168.0,20.00,Ushas,Inactive,,Maquillaje,Labios,24
FS384,Sellador de Maquillaje Ushas Photo Finish,61.18,60.0,52.00,Ushas,Inactive,2028-06-01,Maquillaje,Fijador de maquillaje,12
FS358,Primer Para Sombra Ushas,18.82,168.0,16.00,Ushas,Inactive,2028-01-01,Maquillaje,Primers de maquillaje,24
ES4026,"Glitter En Gel para Ojos, Labios y Rostro Febble",14.12,12.0,12.00,Ushas,Inactive,,Maquillaje,Glitter,24
161-USH-15,Encrespador de Pestañas Ruby Lashes Mood,29.41,36.0,25.00,Ushas,Inactive,2026-01-01,Maquillaje,Encrespador,12
161-USH-14,Encrespador de Pestañas Pastel Ruby,29.41,24.0,25.00,Ushas,Inactive,,Maquillaje,Encrespador,12
FS338,Blush Corazon,76.47,72.0,65.00,Ushas,Inactive,,Maquillaje,Blusher,12
ES4015-2,Sombra de Ojos Golden Stylist-2,80.00,144.0,68.00,Ushas,Inactive,2028-03-01,Maquillaje,Sombra,6
LP2288A,Lápiz Labial Kiss A,21.18,288.0,18.00,Ushas,Inactive,2028-06-01,Maquillaje,Labios,24
LP2288B,Lápiz Labial Kiss-B,21.18,264.0,18.00,Ushas,Inactive,2028-06-01,Maquillaje,Labios,24
ES4017B,Corrector de Ojeras en Crema 8C Golden B,68.24,42.0,58.00,Ushas,Inactive,2027-09-01,Maquillaje,Corrector,6
ES4017A,Corrector de Ojeras en crema 8C Golden A,68.24,60.0,58.00,Ushas,Inactive,2027-09-01,Maquillaje,Corrector,6
Y385,Labial Alejandra Show,14.12,72.0,12.00,Ushas,Inactive,2025-07-01,Maquillaje,Labios,24
ES3965,Blush Perla Sweet,35.29,48.0,30.00,Ushas,Inactive,,Maquillaje,Blusher,24
ES3717,Blush 2 Tonos,29.41,300.0,25.00,Ushas,Inactive,,Maquillaje,Blusher,12
ES3723,Blush Fard Ushas,29.41,300.0,25.00,Ushas,Inactive,,Maquillaje,Blusher,24
MA1072,Máscara de Pestañas Love Febble,31.76,192.0,27.00,Ushas,Inactive,2026-08-01,Maquillaje,Mascara,24
ES4024,Blush Flower Ushas,23.53,192.0,20.00,Ushas,Inactive,2027-08-01,Maquillaje,Blusher,24
ES3931,Blush 2 Tono Cheeks Painting,23.53,288.0,20.00,Ushas,Inactive,,Maquillaje,Blusher,24
ES4012,Blush 2 Tono Matte,23.53,168.0,20.00,Ushas,Inactive,,Maquillaje,Blusher,24
FS292,Sellador de Maquillaje Ushas Rose,88.24,36.0,75.00,Ushas,Inactive,,Maquillaje,Fijador de maquillaje,12
FS195,Spray Liquido Corporal Shimmer,76.47,144.0,65.00,Ushas,Inactive,,Maquillaje,Glitter,12
HA082,Tonico Facial Refrescante Rose,64.71,60.0,55.00,Ushas,Inactive,,Cuidado personal,Serum facial,12
FS370,Iluminador Corporal Cristal,37.65,276.0,32.00,Ushas,Inactive,,Maquillaje,Iluminadores,12
161-334,Máscara de Pestañas Big Shot,14.12,288.0,12.00,Ushas,Inactive,,Maquillaje,Mascara,12
FC611A,Iluminador Febble FC611A,70.59,132.0,60.00,Ushas,Inactive,,Maquillaje,Iluminadores,12
FC616B,Polvo Compacto Ushas-B,35.29,240.0,30.00,Ushas,Inactive,2027-09-01,Maquillaje,Polvo compacto,24
5090A,Labial Matte 26H-A,9.41,42.0,8.00,Ushas,Inactive,2026-08-01,Maquillaje,Labios,48
5090B,Labial Matte 26H B,9.41,144.0,8.00,Ushas,Inactive,2028-08-01,Maquillaje,Labios,48
MA1075,Máscara De Pestaña Ushas Transparente,21.18,192.0,18.00,Ushas,Inactive,2026-06-01,Maquillaje,Mascara,24
ES4198-4,Sombra para Ojos For You 4,91.76,6.0,78.00,Ushas,Inactive,2028-08-01,Maquillaje,Sombra,6
R182/R187,Balsamo para labios Paleta Romantic,11.76,237.0,10.00,Ushas,Inactive,2026-08-01,Maquillaje,Labios,24
FS442A,Corrector de Ojeras Full Cover Ushas A,47.06,144.0,40.00,Ushas,Inactive,2028-11-01,Maquillaje,Corrector,24
FS442B,Corrector de Ojeras Full Cover Ushas B,47.06,96.0,40.00,Ushas,Inactive,,Maquillaje,Corrector,24
LG2416,Brillo Labial Ushas Aloe,18.82,216.0,16.00,Ushas,Inactive,2028-06-01,Maquillaje,Labios,24
ES3712-4,Sombra para Ojos True Love,44.71,11.0,38.00,Ushas,Active,2028-02-01,Maquillaje,Sombra,12
EB022A,Cera para cejas,21.18,72.0,18.00,Ushas,Inactive,,Maquillaje,Articulos para Cejas,24
ES4202-4,Sombra Colores Nudes para Ojos,91.76,6.0,78.00,Ushas,Inactive,2028-08-01,Maquillaje,Sombra,6
MA1087,Mascara De Pestañas,27.06,216.0,23.00,Ushas,Inactive,2028-07-01,Maquillaje,Mascara,24
TP353,Lapiz con Cepillo para Cejas,18.82,336.0,16.00,Ushas,Inactive,,Maquillaje,Delineador,48
FC647A,Iluminador My Custom,44.71,54.0,38.00,Ushas,Inactive,2028-01-01,Maquillaje,Iluminadores,12
HA276,"Serum Facial con Gotero, Aloe Vera",94.12,144.0,80.00,Ushas,Inactive,,Cuidado personal,Serum facial,12
HA274,"Serum Facial Gotero, Collagen",94.12,144.0,80.00,Ushas,Inactive,,Cuidado personal,Serum facial,12
HA277,Serum Facial Gotero Rugosa Rose,94.12,132.0,80.00,Ushas,Inactive,,Cuidado personal,Serum facial,12
HA273,Serum Facial Gotero Acido Hyaluronico,94.12,120.0,80.00,Ushas,Inactive,,Cuidado personal,Serum facial,12
FS445B,Base Maquillaje 16H Con Aplicador Ushas,100.00,96.0,85.00,Ushas,Inactive,,Maquillaje,Base de maquillaje,12
ES4194,Sombra para Ojos Show Time,42.35,108.0,36.00,Ushas,Inactive,2028-07-01,Maquillaje,Sombra,12
ES4163-4,Sombra para Ojos Floral 5C 4,23.53,120.0,20.00,Ushas,Inactive,,Maquillaje,Sombra,24
ES4163-2,Sombra para Ojos Floral 5C 2,23.53,120.0,20.00,Ushas,Inactive,,Maquillaje,Sombra,24
ES4170-4,Sombra para Ojos Love More 4,37.65,96.0,32.00,Ushas,Inactive,2028-04-01,Maquillaje,Sombra,24
FS440,Primer Violet Hidratante,40.00,72.0,34.00,Ushas,Inactive,,Maquillaje,Primers de maquillaje,12
EL650,Delineador de Ojos Dorado Miss Ushas,21.18,12.0,18.00,Ushas,Inactive,,Maquillaje,Delineador,24
LG2500,Rubor Love Pretty,20.00,72.0,17.00,Ushas,Inactive,2026-06-01,Maquillaje,Blusher,24
ES4195-2,Sombra para Ojos Show Time 2,70.59,144.0,60.00,Ushas,Inactive,2028-07-01,Maquillaje,Sombra,12
ES4195-4,Sombra para Ojos Show Time 4,70.59,132.0,60.00,Ushas,Inactive,2028-07-01,Maquillaje,Sombra,12
LG2532,Brillo Labial Boom,17.65,120.0,15.00,Ushas,Inactive,2028-07-01,Maquillaje,Labios,12
LG2400,Brillo Labial Shine On,21.18,192.0,18.00,Ushas,Inactive,2028-06-01,Maquillaje,Labios,24
LG2513,Brillo Labial Ice Drink,21.18,192.0,18.00,Ushas,Inactive,,Maquillaje,Labios,24
LG2525F,Brillo Labial Tinta Juicy,27.06,120.0,23.00,Ushas,Inactive,,Maquillaje,Labios,24
LP2291,Balsamo Para Labios Ushas That Well,18.82,192.0,16.00,Ushas,Inactive,,Maquillaje,Labios,24
FS417B,Base Maquillaje Ushas Rose B,45.88,168.0,39.00,Ushas,Inactive,,Maquillaje,Base de maquillaje,24
LP2290,Balsamo Para Labios Ushas Aloe Vera,20.00,264.0,17.00,Ushas,Inactive,,Maquillaje,Labios,24
ES4168,Polvo Suelto Perfect,37.65,96.0,32.00,Ushas,Inactive,2028-07-01,Maquillaje,Polvo compacto,24
TP343,Lapiz para cejas 3-1 Ushas,31.76,576.0,27.00,Ushas,Inactive,,Maquillaje,Delineador,48
EB026-MIX,Lapiz + Fijador De Ceja,35.29,216.0,30.00,Ushas,Inactive,,Maquillaje,Delineador,24
LG2504B,Labial Matte Ushas,30.59,264.0,26.00,Ushas,Inactive,,Maquillaje,Labios,24
LP2282B,Labial Matte Dorado,22.35,120.0,19.00,Ushas,Inactive,2028-05-01,Maquillaje,Labios,24
TP304K-1,Lapiz de Ceja 3D Ushas Marrón TP304K-1,35.29,0.0,30.00,Ushas,Inactive,2026-01-01,Maquillaje,Delineador,24
MA1073,Mascara para cejas 3D Ushas,25.88,216.0,22.00,Ushas,Inactive,2026-06-01,Maquillaje,Mascara,24
LG2218,Brillo Labial Natural Mix,23.53,264.0,20.00,Ushas,Inactive,2027-12-01,Maquillaje,Labios,24
COM024,Toalla desinfectante 75% alcohol 10pcs,13.50,900.0,12.00,VB,Active,2026-10-01,Cuidado personal,Toallas humedas,24
COM015,Toalla desmaquillante 25pcs,18.82,55.0,16.00,VB,Active,,Cuidado personal,Toallas humedas,12
HCC331,Corrector Huda Beauty Borrador instantáneo multi-uso,32.94,1032.0,28.00,VB,Active,2028-07-01,Maquillaje,Corrector,24
HB5224,Brillo Labial Hold Morning Cute Hello Lovely,12.94,24.0,11.00,VB,Active,2027-08-01,Maquillaje,Labios,24
HL5570,Brillo Labial Hold Morning Cute Candy,12.94,384.0,11.00,VB,Active,2027-10-01,Maquillaje,Labios,24
HL5528,Tinte Labial Hold Morning Space Travel,12.94,0.0,11.00,VB,Inactive,2027-09-01,Maquillaje,Labios,24
HL5559,Brillo Labial Hold Morning HL5559,12.94,384.0,11.00,VB,Active,2027-10-01,Maquillaje,Labios,24
HL5566,Brillo para Labios Hold Morning HL5566,12.94,0.0,11.00,VB,Inactive,2027-10-01,Maquillaje,Labios,24
B949-1,Perfume Oud Wood para hombre 100ml,88.24,204.0,75.00,VB,Active,2028-09-01,Cuidado personal,Perfumes,12
B721-4,Perfume Invictus Blue 100ml,109.00,110.0,90.00,VB,Active,,Cuidado personal,Perfumes,12
B721-2,Perfume Invictus Aqua 100ml,109.00,106.0,90.00,VB,Active,,Cuidado personal,Perfumes,12
B0060-IV,Set de body Pink in Sweet 4pcs 20ml,65.88,12.0,56.00,VB,Inactive,2028-10-01,Cuidado personal,Fragancias,12
B0060-TF,Set de body Pink in Sweet 4pcs 20ml,65.88,0.0,56.00,VB,Inactive,2028-03-26,Cuidado personal,Fragancias,12
B0060-FC,"Set de body Pink in Sweet 4pcs Peach, Sorbet, Blueberry y Sprinkles 20ml",65.88,0.0,56.00,VB,Inactive,2028-10-06,Cuidado personal,Fragancias,12
B0060-LO,Set de body Pink in Sweet 4pcs 20ml,65.88,4.0,56.00,VB,Inactive,2028-10-01,Cuidado personal,Fragancias,12
B0025-MC,Loción Corporal Pink in Sweet 88ml,29.41,0.0,25.00,VB,Inactive,,Cuidado personal,Crema corporal,12
B0025-BV,Loción Corporal Pink in Sweet 88g,29.41,0.0,25.00,VB,Inactive,,Cuidado personal,Crema corporal,12
